Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Rogers Hornsby\hornsro01,28,STL,NL,143,642,536,121,227,43,14,25,94,5,12,89,32,0.424,0.507,0.696,1.203,222,373,,2,13,,,*4
2,Babe Ruth*\ruthba01,29,NYY,AL,153,681,529,143,200,39,7,46,124,9,13,142,81,0.378,0.513,0.739,1.252,220,391,,4,6,,,*97/8H
3,Zack Wheat*\wheatza01,36,BRO,NL,141,624,566,92,212,41,8,14,97,3,4,49,18,0.375,0.428,0.549,0.978,163,311,,4,5,,,*7/H
4,Charlie Jamieson*\jamiech01,31,CLE,AL,143,663,594,98,213,34,8,3,54,21,12,47,15,0.359,0.407,0.458,0.865,121,272,,2,17,,,*7/H
5,Ross Youngs*\youngro01,27,NYG,NL,133,612,526,112,187,33,12,10,74,11,9,77,31,0.356,0.441,0.521,0.962,159,274,,3,6,,,*9/4H
6,Kiki Cuyler\cuyleki01,25,PIT,NL,117,515,466,94,165,27,16,9,85,32,11,30,62,0.354,0.402,0.539,0.94,148,251,,7,12,,,*79/8H
7,Bibb Falk*\falkbi01,25,CHW,AL,138,596,526,77,185,37,8,6,99,6,6,47,21,0.352,0.406,0.487,0.893,132,256,,1,20,,,*7/H
8,Eddie Collins*\collied01,37,CHW,AL,152,678,556,108,194,27,7,6,86,42,17,89,16,0.349,0.441,0.455,0.896,134,253,,3,28,,,*4/H
9,Edd Roush*\roushed01,31,CIN,NL,121,519,483,67,168,23,21,3,72,17,13,22,11,0.348,0.376,0.501,0.877,134,242,,0,14,,,*8/H
10,Harry Heilmann\heilmha01,29,DET,AL,153,682,570,107,197,45,16,10,114,13,5,78,41,0.346,0.428,0.533,0.961,149,304,,4,26,,,*9/3H
11,Goose Goslin*\gosligo01,23,WSH,AL,154,674,579,100,199,30,17,12,129,15,14,68,29,0.344,0.421,0.516,0.937,143,299,,9,17,,,*7
12,Tris Speaker*\speaktr01,36,CLE,AL,135,576,486,94,167,36,9,9,65,5,7,72,13,0.344,0.432,0.51,0.943,141,248,,4,13,,,*8H
13,Ty Cobb*\cobbty01,37,DET,AL,155,727,625,114,211,38,10,4,79,23,14,85,18,0.338,0.418,0.45,0.867,126,281,,1,15,,,*8
14,Ike Boone*\booneik01,27,BOS,AL,128,545,487,72,164,31,4,13,98,2,2,54,32,0.337,0.404,0.497,0.901,132,242,,1,3,,,*9/H
15,Jack Fournier*\fournja01,31,BRO,NL,154,669,563,93,188,25,4,27,116,7,5,83,46,0.334,0.428,0.536,0.965,160,302,,10,13,,,*3/H
16,Sam Rice*\ricesa01,34,WSH,AL,154,712,646,106,216,39,14,1,76,24,13,46,24,0.334,0.382,0.443,0.825,114,286,,4,16,,,*98
17,Marty McManus\mcmanma01,24,SLB,AL,123,517,442,71,147,23,5,5,80,13,9,55,40,0.333,0.409,0.441,0.85,114,195,,2,18,,,*4/H
18,Frankie Frisch#\friscfr01,26,NYG,NL,145,675,603,121,198,33,15,7,69,22,9,56,24,0.328,0.387,0.468,0.855,130,282,,2,14,,,*46/5
19,Andy High*\highan01,26,BRO,NL,144,654,582,98,191,26,13,6,61,3,6,57,16,0.328,0.39,0.448,0.838,127,261,,2,13,,,*46/5
20,Harry Hooper*\hoopeha01,36,CHW,AL,130,561,476,107,156,27,8,10,62,16,13,65,26,0.328,0.413,0.481,0.894,133,229,,4,14,,,*9/H
21,Cy Williams*\willicy01,36,PHI,NL,148,637,558,101,183,31,11,24,93,7,12,67,49,0.328,0.403,0.552,0.955,142,308,,3,8,,,*8/H
22,Bob Meusel\meusebo01,27,NYY,AL,143,630,579,93,188,40,11,12,124,26,14,32,43,0.325,0.365,0.494,0.859,120,286,,5,14,,,*79/58
23,Joe Judge*\judgejo01,30,WSH,AL,140,594,516,71,167,38,9,3,79,13,8,53,21,0.324,0.393,0.45,0.843,119,232,,6,19,,,*3
24,High Pockets Kelly\kellyge01,28,NYG,NL,144,627,571,91,185,37,9,21,136,7,2,38,52,0.324,0.371,0.531,0.902,141,303,,5,13,,,*3/847H5
25,Ken Williams*\willike01,34,SLB,AL,114,483,398,78,129,21,4,18,84,20,11,69,17,0.324,0.425,0.533,0.958,140,212,,1,11,,,*7/H
26,Earl Sheely\sheelea01,31,CHW,AL,146,662,535,84,171,34,3,3,103,7,4,95,28,0.32,0.426,0.411,0.837,119,220,,4,28,,,*3/H
27,Gene Robertson*\roberge01,24,SLB,AL,121,484,439,70,140,25,4,4,52,3,5,36,14,0.319,0.373,0.421,0.795,100,185,,2,6,,,*5H/4
28,Baby Doll Jacobson\jacobba01,33,SLB,AL,152,646,579,103,184,41,12,19,97,6,8,35,45,0.318,0.361,0.528,0.889,122,306,,4,24,,,*8
29,Jim Bottomley*\bottoji01,24,STL,NL,137,583,528,87,167,31,12,14,111,5,4,35,35,0.316,0.362,0.5,0.862,131,264,,3,17,,,*3/H4
30,George Grantham*\grantge01,24,CHC,NL,127,539,469,85,148,19,6,12,60,21,21,55,63,0.316,0.39,0.458,0.848,126,215,,2,13,,,*4/5H
31,Joe Sewell*\seweljo01,25,CLE,AL,153,686,594,99,188,45,5,4,106,3,3,67,13,0.316,0.388,0.429,0.817,109,255,,2,22,,,*6
32,Ray Blades\bladera01,27,STL,NL,131,514,456,86,142,21,13,11,68,7,9,35,38,0.311,0.373,0.487,0.86,131,222,,10,13,,,*7H/4598
33,Lu Blue#\bluelu01,27,DET,AL,108,479,395,81,123,26,7,2,53,9,4,64,26,0.311,0.413,0.428,0.84,119,169,,4,13,,,*3
34,George Burns\burnsge02,31,CLE,AL,129,529,462,64,143,37,5,4,68,14,5,29,27,0.31,0.37,0.437,0.807,106,202,,15,23,,,*3/H
35,Irish Meusel\meuseir01,31,NYG,NL,139,603,549,75,170,26,9,6,102,11,7,33,18,0.31,0.351,0.423,0.774,108,232,,2,19,,,*7/H
36,Eddie Brown\browned02,32,BRO,NL,114,489,455,56,140,30,4,5,78,3,5,26,15,0.308,0.345,0.424,0.769,108,193,,0,8,,,*8
37,Hank Severeid\severha01,33,SLB,AL,137,502,432,37,133,23,2,4,48,1,6,36,15,0.308,0.362,0.398,0.761,91,172,,1,31,,,*2/H
38,Al Simmons\simmoal01,22,PHA,AL,152,647,594,69,183,31,9,8,102,16,15,30,60,0.308,0.343,0.431,0.774,98,256,,2,18,,,*87/9
39,Ira Flagstead\flagsir01,30,BOS,AL,149,661,560,106,172,35,7,5,43,10,13,77,41,0.307,0.401,0.421,0.823,113,236,,11,13,,,*8/H9
40,Babe Pinelli\pinelba01,28,CIN,NL,144,580,510,61,156,16,7,0,70,23,17,32,32,0.306,0.353,0.365,0.718,93,186,,5,33,,,*5/H
41,George Sisler*\sislege01,31,SLB,AL,151,685,636,94,194,27,10,9,74,19,17,31,29,0.305,0.34,0.421,0.762,91,268,,3,14,,,*3
42,Del Pratt\prattde01,36,DET,AL,121,488,429,56,130,32,3,1,77,6,9,31,10,0.303,0.353,0.399,0.751,95,171,,2,26,,,43/H57
43,Joe Dugan\duganjo01,27,NYY,AL,148,671,610,105,184,31,7,3,54,1,2,31,33,0.302,0.341,0.39,0.731,88,238,,5,25,,,*5/4
44,Travis Jackson\jackstr01,20,NYG,NL,151,633,596,81,180,26,8,11,76,6,7,21,56,0.302,0.326,0.428,0.754,102,255,,0,16,,,*6
45,Joe Harris\harrijo03,33,BOS,AL,133,592,491,82,148,36,9,3,77,6,1,81,25,0.301,0.406,0.43,0.835,116,211,,5,15,,,*3/7H
